5s.mp4,0,0,665,5,152
10s.mp4,0,0,1159,10,302
60s.mp4,0,0,6348,60,1802
300s.mp4,0,0,32781,300,9002
600s.mp4,0,0,64893,600,18002
1800s.mp4,0,0,208926,1800,54002
5s_720.mp4,0,0,834,5,152
5s_1080.mp4,0,0,1735,5,152
5s_2000.mp4,0,0,3196,5,152
10s_720.mp4,0,0,1535,10,302
10s_1080.mp4,0,0,2970,10,302
10s_2000.mp4,0,0,6146,10,302
60s_720.mp4,0,0,9017,60,1802
60s_1080.mp4,0,0,18507,60,1802
60s_2000.mp4,0,0,34146,60,1802
300s_720.mp4,0,0,42637,300,9002
300s_1080.mp4,0,0,91898,300,9002
300s_2000.mp4,0,0,170206,300,9002
600s_720.mp4,0,0,86627,600,18002
600s_1080.mp4,0,0,170061,600,18002
600s_2000.mp4,0,0,339793,600,18002
1800s_720.mp4,0,0,259818,1800,54002
1800s_1080.mp4,0,0,517848,1800,54002
1800s_2000.mp4,0,0,1048793,1800,54002
